header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,recommend
"""unbelievably high fares""",9,2016-06-22,"Connecting Airnorth flight to PER via BME. Outbound flight delayed nearly 90 minutes as late departing from Darwin (the origin of this two stop flight). Connecting flight at Broome was held for transferring pax, bags made it through and were first off carousel at Perth. Very impressive that the flights were held, great service in this day and age. Onward flights to Perth with QF uneventful. Downside is that this regional airline charges unbelievably high fares on these routes - often in excess of an international long haul Y fare to Europe of North America, and far, far more than a comparable domestic ticket - there is no justification for the cost, except a virtual monopoly on these routes.",False,Embraer 170,Solo Leisure,Economy Class,KNX to PER via BME,June 2016,3,4,,4,2,,True
"""was pleasantly surprised""",7,2016-04-18,"✅ Verified Review |  Airnorth (Australian Airnorth that is) code-sharing with QantasLink has recently commenced a mostly daily non-stop service from the almost new Toowoomba-Wellcamp Airport to Melbourne (and also does a Toowoomba-Cairns run as well). I thought I'd give it a try for a business trip and was pleasantly surprised. Check-in is nicely efficient through the QantasLink staff, seating and also inflight service is pleasant except for the very annoying practice of loudly announcing the facilities etc on-board immediately after the aircraft has lifted off making for a very nerve racking experience - and I am a very frequent flyer who is never nervous. Forget the charm and excitement of the take-off experience. Why do some airlines do this these days? I had the same awful experience on a recent British Airways flight from Dubai to London. What a crazy idea. Also it is worth noting that Airnorth use Terminal 4 at Melbourne so don't make the mistake of thinking you can make a quick connection to regular Qantas or Qantaslink flights in Melbourne as these are in another terminal and quite a long walk awaits you from the Airnorth aircraft arrival gate across to the Qantas Terminal. The Qantas web-site and booking system does not seem to get that (yet). Apart from these 'teething troubles' I would cautiously recommend Airnorth.",False,E170,Business,Economy Class,TWB to MEL,April 2016,4,4,,4,4,,True
"""experience was exceptional""",10,2015-11-07,"My experience on Airnorth was exceptional, with their super comfortable seats coupled with amazing service. The cabin crew were constantly doing rounds making sure we had everything we needed and serving us drinks, meals and even warm cookies! Our flight was not at all delayed, and our baggage was out for us in no time at all! I would definitely recommend this airline for anyone traveling in western Canada or Ottawa!",False,Boeing 737,Family Leisure,Economy Class,Whitehorse to Vancouver,October 2015,5,5,,5,5,,True
"""good value for money""",6,2015-10-24,"The Airnorth flight did not get off to a good start - having been delayed by an hour. Once in the air, service was efficient and effective. The in flight food was satisfactory. The seats are adequate, with sufficient pitch and recline to not cause any issues. The tickets were bought on special, giving good value for money.",False,EBJ170,Couple Leisure,Economy Class,Darwin to Kununurra,October 2015,3,4,,3,4,,True
Airnorth customer review,6,2015-03-04,Had another wonderful flight from Whitehorse to Vancouver. Disappointed that's had to transit via Kelowna however. Makes a relatively short flight into a long one. I was also very disappointed in the agent boarding the aircraft. Very rude and poorly trained. First denied me boarding for invalid ID that's had used to board the Air North flight from Vancouver to Whitehorse. Another agent had to inform her my ID was valid and acceptable for travel. The flight attendants however were very attentive and defiantly made up for it all.,False,,,Economy Class,,,2,3,,,3,,True
Airnorth customer review,7,2015-02-24,Flew YVR-YXY-YVR. Flights both left on time and were pleasant and smooth. Flight Attendants were very friendly and helpful throughout the flight.,False,,,Economy Class,,,4,5,,,4,,True
Airnorth customer review,5,2014-07-15,I have to put in some severe criticism of Airnorth's customer service during the ash cloud disruption in June. My original morning flight on Sat 31 May Dili-Darwin was cancelled - fair enough. Airport staff thought it might operate in the afternoon and sent us home. The call centre told about midday that they hadn't decided what to do yet but would contact everyone later. About 3pm I got a call from the Qantas call centre to reschedule connecting flights and they saw in the system that Airnorth had rebooked me for 5pm Sunday. Then on Sunday morning I looked at Airnorth's website and it said that my 5pm flight had been changed to 12.45pm so I rushed off to the airport. It turned that was wrong and we were sent home. The call centre isn't open on Sundays so I had no idea what was happening. Eventually I saw on Darwin airport's website that the incoming fight had been cancelled (all other airlines operated normally from Dili and Darwin that afternoon). Airnorth eventually called at 7pm to tell me I was rescheduled for 5pm Monday. Normally Airnorth flights have been fine - on time good staff limited food but only short flights anyway. However they really can't handle anything unusual and given their monopoly on many routes they probably won't bother to improve.,False,,,Economy Class,,,,,,,,,False
Airnorth customer review,7,2014-06-30,"Darwin to Kununurra in an E-170. Comfortable 2-abreast seating and a smooth flight. However there was a confusing beginning in Darwin as the departures screen said ""go to gate"" but did not give a gate number! Eventually a barely audible ""last call"" announcement was made. The service on-board was friendly. A pack of two small muffins and orange juice was served. The flight operated on time.",False,,,Economy Class,,,,,,,,,True
Airnorth customer review,6,2014-04-27,DWN-TSV then GCA-DWN - April 2014. Flight down was direct on time and with good inflight service. Return flight via MT ISA less pleasing mainly because the FA's jammed us all together despite a number of rows of empty seats at the front of the plane. I hate having to ask to move once seated and with carry on in the o/head lockers. There was no need (that I can see) to stack us that way and it just left a bad taste in the mouth. Food on the return flights was similarly 'bad' in the mouth. 1st leg was a beef curry (very boarding school type muck) and 2nd leg described as a chicken wrap which turned out to be a beef wrap. Too bad if you were allergic and took a bite (surprise!).,False,,,Economy Class,,,,,,,,,True
Airnorth customer review,2,2014-04-19,TSV-DRW-TSV: We chose to fly with Air North because of good connection flight times when returning from our overseas holiday. We arrived in Darwin at 4.50am after being in transit for 12 hrs from an overseas destination we were scheduled to fly back to Townsville on the 7.00am flight which was perfect. Air North changed the flight schedule our new departure time was 1.45pm. An increased wait of 6.45 hours at Darwin airport. I contacted Air North and inquired if any assistance could be given to us meal voucher half day accommodation etc. I received an email from the Marketing and Communications Manager who sighted their rules of carriage and provided us with details of a local motel for us to contact no assistance was offered not even a coffee voucher! We were very disappointed in Air Norths lack of customer care and would not recommend using Air North especially when connecting to/from International flights.,False,,,Economy Class,,,,,,,,,False
Airnorth customer review,9,2014-03-30,TSV-DRW-TSV flight out on time the aircraft was clean and comfortable certainly more personal space on the Embraer 170 then you get on other economy flights in Australia. The cabin wasn't full so after take off it was a matter of grabbing a pair of seats to myself. A light morning meal of sandwiches water coffee/tea and a small chocolate was complimentary. The return flight was delayed 7 hours and advice was received about this the afternoon before by email and SMS. Two hot meal options offered on that flight one vegetarian the other sausages and mash. Beer wine and spirits were complimentary on this leg perhaps owing to the long delay I didn't ask I just enjoyed having two seats to myself again and kicked back with a fee Jim Beam and cola's. Flight attendants professional and attentive.,False,,,Economy Class,,,,,,,,,True
Airnorth customer review,8,2013-08-18,Return DRW-DIL. Efficient boarding on-time helpful cabin attendants. Flight out provided minimal catering though this was a late afternoon flight. Return flight was early morning good breakfast akin to what I would normally have at home. In-flight magazine had really interesting articles and was adequate reading for the one hour flight. No complaints at all. No charge for exceeding baggage allowance by 1kg on return flight.,False,,,Economy Class,,,5,4,"<span class=""star fill"">3</span>",,4,,True
Airnorth customer review,9,2013-08-18,Broome to Kununurra then Kununurra to Perth on ERJ 170. All flights on time fairly basic food but professional cabin service with 2 FA's keen to please. Seat rows are 2x2 and the seat pitch seems to be greater than economy in the newer 737's operated by Qantas mainline. A neat little aircraft. Love their direct service now three times between Perth and Kununurra - the only airline providing this service and also appreciate their 'milk runs' which allow easy connections several times a week between Karratha Port Hedland Broome Kununurra and Darwin. A dependable airline serving the remote bits of WA and other carriers could learn a lesson or two.,False,,,Economy Class,,,,,,,4,,True
Airnorth customer review,8,2009-07-12,Kununurra-Broome in an ERJ-170. A very pleasant flight. The seat pitch and light refreshments were fine for such a short leg. The seats have comfortable adjustable headrests. The service was friendly and the flight departed and arrived 20 minutes early.,False,,,Economy Class,,,,,,,4,,True
Airnorth customer review,4,2008-11-25,DPS-DRW on Embraer E170. This is a great little airline and a great little plane. Comfy seats with plenty of legroom free alcoholic drinks and a hot snack. They even served double drinks which is something I hadn't encountered in economy in a long time. Meal was a choice of hot meat or chicken pie plus cheese and crackers and a Twix. Service very friendly. Being such a small plane getting through immigration in Darwin was a breeze and the luggage was already on the belt when I got there. Customs was also easy. Unfortunately Airnorth are ceasing operations this route at the end of January 2009.,False,,,,,,,,,,,,False
