header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,recommend
"""cost is diabolically high""",2,2016-04-17,"Southampton to Alderney. Some positives. We left on time and arrived on time both out and on return. Check in was fine but having checked in on line, this was and is a complete waste of time for this route currently. The plane is very noisy so take ear plugs and space is also at a premium so not much room. The flight is about 45 mins. The cost is diabolically high and for anyone to suggest this is a cheap flight they are clearly on something. We paid over £410 there and back with 2 travelling. I can get to the States cheaper than this. They say there is a customer focus attitude. A week before or flights we were rung up and told our return flight was cancelled and so we had been moved onto a flight 2 hours previous. We asked about compensation and clearly the customer focus attitude was abroad on that day, because we were told that we can cancel if we wish. What are we going to do - walk? We could of course fly with another airline but of course there isn't one, so they can do what they like. I was advised that that they also forced the shutdown of a local boat shuttle service to Guernsey, where you could get a Flybe flight to Gatwick or Stansted.",False,Trislander,Couple Leisure,Economy Class,SOU to ACI,April 2016,2,1,,3,1,,False
"""have been a good airline""",8,2016-01-08,"Been going with Aurigny Air for years now to fly over to Guernsey and they have been a good airline. Did have a delay in 2015, our flight from Gatwick to Guernsey was supposed to fly out at 10:00 and was delayed till 12:30 so we got the minibus to the plane (as my relative is disabled) got to the place and the plane wasn't even there and was still in Guernsey so we came back into the airport and then got called back down at around 3 - we didn't get any vouchers. A 5 hour delay is nothing compared to other reviews about Aurigny however the flight back was peaceful and the new jet makes the journey quicker - even had a chat to the pilot and cabin crew whilst waiting on the plane to get the minibus and they were all very friendly and pleasant",False,ATR,Family Leisure,Economy Class,LGW to GCI,May 2015,3,5,,3,4,,True
"""urgent training required """,2,2015-11-09,"Aurigny Customer Service staff must be the worst in the world, the recent fog caused some delays at U.K airports, whilst still on the island having a meal before my flight at a local restaurant I heard that there was flight delays so I telephone Aurigny to find out how long etc, I was told no all is well get here on time. Turned up for my 5.15pm flight at just before 4pm and was immediately told story five hour flight delay nothing we can do, went to customer services - who were useless. Whilst I was speaking to a man there, a lady in the back ground put a leaflet on the counter in front of me and said ""its all in there"" and went back to her seat and sat down, the leaflet was about delays, great customer service. We went upstairs and ordered some snacks and drinks and just as I paid, tannoy announced that our flight was now leaving ASAP and was going to Liverpool, not Manchester and that a coach would be there waiting to take us to Manchester. We left everything, checked in and then sat for over an hour in departures. Finally arriving at Liverpool guess what no coach and no one aware of this arrangement, eventually a Liverpool airport member of staff said she was arranging a coach for us, some people asked if a taxi would be paid for by Aurigny and they were told no, now near 10pm and most of the passengers now left making their own way to Manchester the member of staff returned and said she may have a coach for us, and then said where is everyone. Well they have all gone was the reply and we are off too, thanks for the help. Aurigny`s objective was just to get shut, thanks to them I had to make my own way to Manchester at 11pm collect my car and then drive back through the thick fog getting home at near 1am, it would have been safer for all just to get the next safe flight out. When I telephone Aurigny for a refund for the taxi I was told no chance, not our fault and once off the island not our problem and that they are not part of the EU rules. When I tried to put my point I was then told by the young girl on the phone that she was now terminating the call. After a couple of calls I have now been told that I am getting my Taxi fare back but thats it, no compensation for the delay at Liverpool as we were off the island and not their problem.  Customer services at the airport and on the phone score nil, urgent training required nothing complex just the art of communication would be a good start, how to talk to people.",False,,Family Leisure,Economy Class,Guernsey to MAN via LPL,November 2015,3,3,"<span class=""star fill"">1</span>",1,2,,False
Aurigny Air customer review,3,2015-08-12,"We flew Ryanair to Stansted to connect with this flight. Ryanair late and baggage took 30 minutes to get to carousel which meant we were late for bag drop (minimum one hour for domestic flight). Rang Aurigny to see if we could get our bags processed 50 minutes before departure time. No go and no assistance. I was in the middle of booking flights for the next day when a staff member Menzies Aviation came out, and asked if he could assist us. When we explained the situation he told us the flight had been delayed and he would see if he could get our bags on. 2 minutes later all sorted no thanks to Aurigny. Our flight left 40 minutes late anyway and as we have now found out their flights had been delayed by fog. So why didn't the ""customer service"" person at Aurigny know that and also offer to see if we could join that flight? Maybe it was because she had no customer skills and spoke to me as if I was trying to put something over her.",False,,Couple Leisure,Economy Class,Stansted to Alderney via Guernsey,August 2015,3,4,,1,1,,False
Aurigny Air customer review,5,2015-08-03,"We had a weekend trip to Guernsey from Gatwick. Both flights were late. On the return flight, seated at the back of the aircraft I was subject to the flight attendants' conversation grumbling about their job and their employer. I feel a little put off from making future leisure trips to Guernsey, as this airline is quite expensive, suffers delays, and does not provide the warmest service.",False,Embraer,Couple Leisure,Economy Class,LGW to Guernsey,August 2015,3,2,,4,3,,False
Aurigny Air customer review,7,2015-07-07,"A great no frills, low cost airline. I highly recommend for little inter-island hops around the Channel Islands. However I am prompted to write a review today due to really appalling customer service via telephone this week. A tetchy member of staff, a very poor line (or as I suspect chin to mouth piece) a stroppy, irritated response when I could not hear well, a curt reply to my inquiry and the phone going dead before I could scarcely say thank you and good bye. Courtesy costs nothing. I await my next flight in trepidation and am giving a high score for previous trips and polite, well mannered staff.",False,,Business,Economy Class,Southampton to Guernsey,December 2014,3,5,,5,5,,True
Aurigny Air customer review,9,2015-07-07,"Flew from LCY to GCI return. Outbound: Quick and easy check in at LCY, straight through security then to departures. LCY can get quite busy in the mornings but managed to find a seat without any problems. Bused to the aircraft. Onboard great friendly service, complimentary drink and duty free items offered. Flight time approx. 1 hour. Return: Check in at GCI can be a bit slow espicially if there are a couple of other flights departing around the same time. Same friendly service on board for the return trip. The aircraft used is the smaller version of the ATRs they have in their fleet but offers the same cabin layout as the bigger ATR aircraft, the seat pitch is exactly the same. This is Aurigny's newest route and is a great alternative to Gatwick and would highly recommend this for anyone starting or finishing their journey in central London. If you book in advance the fares are reasonable and once you factor the train cost to Gatwick the fare is not much different. LCY is a great airport to travel through, quick, easy and hassle free compared to the bigger London airports.",False,ATR42,Solo Leisure,Economy Class,London City to Guernsey,June 2015,3,4,,4,3,,True
Aurigny Air customer review,7,2015-04-30,We flew to Gatwick from Guernsey on 24th April excellent and early flight and great crew but we waited an hour and 10 minutes from leaving the plane to retrieving our luggage. No one to ask in the CI luggage reclaim area you couldn't go back nor leave the area. Unacceptable I am afraid. We would have understood had their been a security alert or another problem but nobody communicated with us. Luckily we did not miss any on going connections but come on how difficult is it to unload a plane and get bags through in a quick manner?,False,,,Economy Class,,,,,,,1,,True
Aurigny Air customer review,9,2015-04-22,Flew from MAN to GCI and then from GCI to BRS over Easter weekend. Not bad value considering they pretty much the only way of getting to Guernsey. Free bag soft drink and newspaper but you would want to be incredibly short to have any hope of being comfortable in these seats for any amount of time. The crew on board we very professional and pleasant to deal with and seemed to enjoy what they were doing. Flight from GCI to BRS was operated by VLM on a Fokker 50 that was as old as the hills still it had a lot more legroom than the ATR on the previous flight. Nice service by nice crew on a short flight.,False,,,Economy Class,,,,,,,4,,True
Aurigny Air customer review,10,2015-03-28,Flew the first time with Aurigny from LGW to GCI and return. All flights were on time aircraft still looks very new comfortable seats with enough leg space flight attendants doing their best to offer free drinks and the Guernsey Press within the short flight time and 20 kg luggage was included in ticket price. Overall it was a surprising good value for money and I felt well-cared all the time will definitely recommended this airline.,False,,,Economy Class,,,,,,,4,,True
Aurigny Air customer review,10,2014-12-22,I fly Gatwick-Guernsey-Alderney or Southampton-Alderney return about eight times a year. The service is excellent value for money (considering the costs of operating old small planes) always a friendly smile at Southampton and in Alderney. More a community bus service than an airline except the new Embraer 195 used on Gatwick-Guernsey is very sleek and professional. You spend longer waiting for bags at Gatwick sometimes than actually in the air - so tend to stick to Southampton (plane to train personal best so far at 3 minutes 40 seconds). Fantastic.,False,,,Economy Class,,,,,,,4,,True
Aurigny Air customer review,10,2014-12-10,I flew GCI-LGW-GCI in November. 5 minutes early on departure. Arrival into LGW early. Even the bags arrived quickly. Cabin crew under pressure to serve the free drinks but got there. On return the only slight delay was the need for the long taxi down to the end of the runway at Gatwick. On time arrival. On E195 super plane 31m flight. Bag delivery in GCI could be improved though very slow. I have travelled 30+ times on Aurigny this year. Never let me down they always get me home.,False,,,Economy Class,,,,,,,4,,True
Aurigny Air customer review,5,2014-11-25,I flew from Jersey to Alderney via Guernsey and experienced delays. Not really a problem as had been warned by telephone of the delay in Guernsey and the fact that it happened in Jersey was immaterial. Everyone was perfectly friendly and civilised. However a few days later I flew from Alderney to Gatwick via Guernsey and while the flight was fine and everything on time I found the ground and cabin staff to be offhand at the very least and was made to feel as if I was an idiot when I undid my seatbelt to pay for my drink and when I asked for information on arrival in Guernsey. I really think that as a small airline if they want to attract customers they should give their staff better training in their general approach. Just a smile and a pleasant way of speaking would be an improvement on a sigh and a grimace.,False,,,Economy Class,,,,,,,1,,False
Aurigny Air customer review,10,2014-11-05,Flew on the new jet from Gatwick to Guernsey and back last Thursday - a trip I often make. New Embraer 195 aircraft is now being used by Aurigny. Flights both ways on time and very quick coming back in the evening from take off to landing was just 31 minutes. That meant a difficult job for the cabin crew to get drinks to everybody in time but they're obviously used to it and completed the task with a few minutes to spare. As always with Aurigny a great and friendly service only quicker now!,False,,,Economy Class,,,,,,,4,,True
Aurigny Air customer review,9,2014-10-22,East Midlands to Guernsey on an ATR-72. Nice to have a proper airline service with a person to check in your bag plus complimentary drinks and newspaper on board. Aircraft clean and presentable departed on time but arrived slightly late due to strong head winds. Flight a little bumpy in parts. Cabin crew service efficient and with a smile. Good flight price. Would fly with Aurigny from my local airport again.,False,,,Economy Class,,,,,,,4,,True
Aurigny Air customer review,,2014-09-14,My wife and I had gone to Guernsey for a weekend so we could do the G-JOEY flight having seen voted best small airline by which magazine makes them look good. The weather was a bit poor and they do say if there is bad weather the flights might get cancelled so as is was awful we were not to sure if the flight would go ahead. Twenty minutes from departure the clouds broke up and sun started to appear which was a relief but then the flight got cancelled we were taken out of departures and that was it. We were told that according to the metro logical forecast the weather was not good but had Aurigny ops looked out of there window it was sunny and as we were only having a twenty minute trip on the plane And I saw no problem weather wise. However the truth came out accidentally let slip by a member of staff that the plane was needed for the 15.20 Alderney service to depart late at 15.55 which is why the trip was cancelled where as our schedule should have been a 15.45 departure. We were not the only passengers that had travelled from mainland Uk just for this flight and felt let down by the airline after paying to fly to Guernsey for the short flight. Having contacted the airline and no reply yet why they need twenty eight days to reply I will never know for a small airline sadly now I will possibly not get to fly this aircraft as it is due to come out of service.,False,,,Economy Class,,,,,,,1,,False
Aurigny Air customer review,8,2014-03-21,Me and my wife use Aurigny often as our daughter grandchildren and son in law live on Alderney. The staff are friendly and polite. Only get delayed when there is bad weather on the island. Only criticism is the price of tickets could do with more offers as we fly from Southampton.,False,,,Economy Class,,,,,,,1,,True
Aurigny Air customer review,10,2013-10-25,We have just used Aurigny Air for the first time flying from East Midland to Guernsey. We have flown over the last 6 yrs several times a year with Flybe - no more. flight was on time going and coming back in fact we made it both ways ahead of time both ways staff were smart polite and professional. What was also nice was the complementary drink and free local paper.,False,,,Economy Class,,,,,,,4,,True
Aurigny Air customer review,10,2013-09-08,30/8/2013 from Stansted on flight no GR437 to Alderney via Jersey and Guernsey and returned on 3/9/2013. Impressed with the friendliness and helpfulness of staff second to none. The only blip on the horizon was at the information desk in Guernsey where expecting the usual smile in answering a simple question was completely the opposite small moan in what was first class treatment. We shall certainly travel with your airline again and tell our friends to do the same.,False,,,Economy Class,,,,,,,4,,True
Aurigny Air customer review,1,2013-08-18,Flight cancelled out of Guernsey due to fog - put on a flight 28 hours later (which was 30 mins late taking off). Staff totally disinterested - no offer of practical or financial help - just told to claim on travel insurance. To cap it all we were placed right in the middle of a noisy football team when we finally got away.,False,,,Economy Class,,,,,,,1,,False
Aurigny Air customer review,,2013-08-12,The user requested that this review be withdrawn due to pressure being exerted on them by the airline.,False,,,Economy Class,,,,,,,1,,False
Aurigny Air customer review,5,2013-04-04,I am a devoted traveller (LGW and back every week for many weeks in the year and I always travel Aurigny if I can) and I always book my family on Aurigny. However my families experience with delayed or cancelled flights in the last 6 months and the experience of friends is beginning to make me seriously doubt my loyalty. Their chairman mentioned a few months ago that the reliability was going to improve and it hasn't. Reliability is crucial to an airline. Aurigny is vital to Guernsey.,False,,,Economy Class,,,,,,,4,,False
Aurigny Air customer review,10,2013-03-12,Jersey to Guernsey 08.03.13 as always you cannot fault any part of the trip. A fun start to the day to prepare oneself for the evening return with the blue spotted one to Southampton - maybe. Anybody visiting the Channel Islands for a short break should take a trip on a Trislander.,False,,,Economy Class,,,,,,,4,,True
Aurigny Air customer review,9,2013-01-07,Travelling Manchester to Guernsey GY671 on 19 December 2012. The 17.10 flight was delayed until the next day due to bad weather. Aurigny kept us informed arranged coach transport from and to airport to Crowne Plaza Hotel with very good Evening meal and Breakfast. Next morning offered a drinks voucher at the Airport as we could not take off until 11.45.,False,,,Economy Class,,,,,,,4,,True
Aurigny Air customer review,9,2012-04-23,Flew to Alderney from Southampton. A very pleasant short flight friendly captain. Aircraft is too small for safety demonstrations so you have to watch a short film in the departure lounge. My partner left his passport and mobile onboard and they phoned us a few hours later to inform us they would be ready for collection on our return flight. As the aircraft is very small it is not at all comfortable but a good inflight magazine. Cost of the flights was high considering the short journey time.,False,,,Economy Class,,,,,,,4,,True
Aurigny Air customer review,,2012-03-09,Like all budget airlines Aurigny charge over the odds for credit card booking. £3 per person to encourage you to reserve a seat is a joke - they automatically allocate seats not next to each other upon web check-in - meaning I was at the back of the plane and my partner at the front. Plane's are very old. Leg room OK but wherever you are in the country (we were flying from East Midlands) it's never usually much more then an hours flight. Overall the flight is a means to an end.,False,,,Economy Class,,,,,,,1,,False
Aurigny Air customer review,10,2011-10-31,SOU-ACI-GCI-JER return. Every leg of this journey (entirely on Trislanders) was a pleasure. No delays from Southampton and pilot was friendly. The same pilot flew us on to Guernsey where after a short stop we changed aircraft for Jersey.,False,,,Economy Class,,,,,,,4,,True
Aurigny Air customer review,10,2011-08-12,GCI-MAN-GCI. No queues at check-in desks. Flight on time. Free drinks on board. Helpful crew. Bussing at Manchester due to customs requirements. Baggage handling at Manchester very slow. On return no check-in queue plane pushed back 5mins early. Good value for money free baggage too.,False,,,Economy Class,,,,,,,4,,True
Aurigny Air customer review,10,2011-08-10,EMA-GCI return. Both legs on time. Friendly ground staff and onboard ATR 72 aircraft. Excellent updates from the flight deck and cabin crew offered free drinks & newspaper which is unusual these days. Free hold baggage included in ticket price which is good value. This airline puts many of its bigger rivals to shame.,False,,,Economy Class,,,,,,,4,,True
Aurigny Air customer review,2,2011-07-24,Check-in at Manchester was awful we waited 20mins to check-in. The check-in agent couldn't change my seat no other staff to help. Flight late departing no announcements and no gate staff to ask with a scrum to board when finally called. Aircraft clean but seating cramped and seat broken and kept reclining - after the cabin crew asked 3 times for me to move it she finally listened that it was broken. Cabin crew were not very friendly and on arrival waited 15mins for baggage - GCI airport is tiny and no other flights in so cant understand the wait. Return flight delayed - and on arrival parked at the terminal and yet had to be bussed around the airport. Overall dated airline.,False,,,Economy Class,,,,,,,1,,False
Aurigny Air customer review,10,2011-07-08,Excellent flights to Guernsey & return. Attentive staff. ATR72 aircraft ideal for route. In flight free drinks welcomed and puts rivals to shame.,False,,,Economy Class,,,,,,,4,,True
Aurigny Air customer review,9,2010-08-11,STN-GCI-STN. Overall package was professional and good value for money. The ATR -72 used felt like a white-knuckle ride for much of the journey - don't know if these aircraft are affected more by the turbulence. Attentive and cheerful FAs on both sectors and good updates from the flight deck. Only reason for not awarding more marks was a 2hr delay on return leg not entirely attributable to Aurigny and well dealt with. This airline really puts some of the larger carriers to shame regarding their standards of customer care.,False,,,Economy Class,,,,,,,4,,True
Aurigny Air customer review,9,2010-05-09,STN to Jersey. Everything on time check-in sluggish at both ends but inflight service important to this airline. Free tea coffee or soft drinks and polite cabin crew though some announcements difficult to understand.,False,,,Economy Class,,,,,,,4,,True
Aurigny Air customer review,10,2010-04-25,Gatwick - Guernsey. Showed up only slightly early for check in. Thought we were in for a shocker with the wait but luckily it was for the check in desk neighbor Viking airlines. Auringy desk (of course) had nobody there. Plane was clean. Service fantastic. Free paper was a nice touch and best airline tea.,False,,,Economy Class,,,,,,,4,,True
Aurigny Air customer review,10,2009-11-30,Jersey to Guernsey the early flight. Everyone who likes to fly should fly this route. The Trislander is a real plane and you get to see it all happening from start to stop. Excellent value and a good experience all round.,False,,,Economy Class,,,,,,,4,,True
Aurigny Air customer review,7,2009-11-21,Gatwick - Guernsey Return. ATR72 clean and tidy. Both legs on time. Seat pitch tight if you are tall but acceptable for 45 minute flights. Complimentary soft drink cabin crew working fast to complete full service in tight time constraints. Overall a good regional carrier but with one irritating gripe. There is a £3 fee to choose your seat in advance this under the current climate is not too bad. However if you book a fully flexible ticket and subsequently change your flight although there is obviously no fee for changing your flight you will be expected to pay the £3 AGAIN if you want to choose a seat on the new flight. If you are on a flexible ticket you should really only have to pay the fee for choosing a seat once.,False,,,Economy Class,,,,,,,4,,True
Aurigny Air customer review,10,2009-07-20,LGW-GCI. Very good flight no add-ons like FlyBe etc. Good price online check in free drink and a new ATR72 great value.,False,,,Economy Class,,,,,,,4,,True
Aurigny Air customer review,9,2009-05-20,Return trip from Guernsey to London Stansted. Check In staff helpful and polite free 20kgs baggage allowance and on time departure. Cabin staff excellent. ATR aircraft (even the 2 new ones) are small and quite loud but okay for a 1 hour flight time. Free drinks and newspaper on board is a lovely touch.,False,,,Economy Class,,,,,,,4,,True
Aurigny Air customer review,5,2009-04-26,Gatwick to Guernsey. Couldnt check in online as we had bags and a child which the system doesn't cater for but no queue at the Gatwick check in and the process completed in a couple of minutes. Flight on time. Free soft drinks and tea/coffee and a copy of the local paper was a nice touch. Brand new ATR72 - spotless! On arrival we waited just 5 minutes for our bags. On the return again no queue at check in on time and comfortable. Excellent value for money.,False,,,,,,,,,,,,False
Aurigny Air customer review,4,2009-01-08,Flew to Guernsey from Gatwick. A great start to the New Year with no security queues at Gatwick (wish it was always like that) and a great flight on Aurigny. You get a choice of free soft drinks on board including tea and coffee but this excludes hot chocolate so I stumped up a £1 and had a hot chocolate and a free orange juice. Smooth flight on board the ATR72 though I thought the aircraft looked a little tired. Chatting to the cabin crew I learned that Aurigny is getting two new ATR72 aircraft in March so that should improve matters. Much the same experience coming home again that evening. All in all a good (short) trip to a wintry Guernsey and great value for money.,False,,,,,,,,,,,,False
Aurigny Air customer review,4,2008-11-09,London Gatwick - Guernsey and return. Smooth check-in in both directions with pre-reserved seats. Smooth flights operating on time. Seats comfortable enough for 1 hr flights. Non-alcoholic drinks provided service efficient. Overheat lockers on the ATR72 are very narrow.,False,,,,,,,,,,,,False
Aurigny Air customer review,4,2008-06-27,LGW-GCI. Used the new online check-in which was simple and saved a lot of time at the airport itself. Walking out to the aircraft wouldn't be fantastic on a rainy day. Flight time was just 40 minutes. The first impression of the ATR72 was that it was quite old and worn and noisy. Loads very low with 7 free rows in front of me and many behind too. Staff weren't unpleasant but I can't say they were particularly great either. Just average. Free drinks and arrival was especially easy. We were outside the terminal at Guernsey within 5 minutes of the engines being shut down.,False,,,,,,,,,,,,False
Aurigny Air customer review,,2007-10-08,GCI-LGW-GCI. Flights on time both ways. Complimentary tea and coffee and soft drinks which is rather rare these days and no charge for hold baggage. Cabin crew ok but nothing special. Aircraft first generation ATR72 which are rather tatty inside and my seat was covered in crumbs on the return flight rather noisy and a lot of vibration compared to jets and newer turboprops. I believe Aurigny are purchasing 2 new ATR72-500 which should be an improvement they certainly need to update the fleet. Reasonable fares as long as you can book well in advance otherwise the price is extortionate.,False,,,,,,,,,,,,False
Aurigny Air customer review,,2007-08-27,GCI-MAN on ATR 72. Flight 20 minutes delayed due to late inbound (25 mins) but we were kept informed. Watching ground staff from the departure lounge one could see a very focussed and motivated group working together to reduce the delay. This is how it should be done but maybe it is easier for a small airline.,False,,,,,,,,,,,,False
