header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,recommend
"""How unhelpful this small (and small minded) company is""",1,2021-02-15,"Not Verified |  We booked a trip to Edinburgh with Loganair last January, sadly all the events etc were subsequently cancelled due to Covid, we had no option other than to cancel our flights - Loganair would not offer us a refund only a credit note valid until August 2021. (Interesting that all the attractions we had planned to visit issued refunds immediately). Recently contacted Loganair to clarify the position re our credit note, it is difficult to plan ahead with so much turmoil and uncertainty. Loganair will not extend the time period for the validity of their voucher! How unhelpful this small (and small minded) company is.",False,,Couple Leisure,Economy Class,Bournemouth to Edinburgh,August 2020,1,1,,1,1,,False
"""Loganair refuses to refund me the money""",1,2020-10-19,This airline is engaged in unethical behavior. The Loganair flight I booked was canceled by Loganair. Loganair refuses to refund me the money I paid for the booking. Do not book a flight on Loganair under any conditions,True,,Solo Leisure,Economy Class,Glasgow to Barra,March 2020,,,,,1,,False
"""This was a great surprise""",10,2020-09-12,"Not Verified |  This was a great surprise as we have never flown Loganair before and expected a noisy prop jet, instead we had a small jet both ways. The ground staff were amazing as I requested a wheelchair for my husband at the last moment and they looked after him really well. It was a lovely smooth flight both ways and it took around an hour to reach our destination. We hope they continue to stay flying from Southampton as this is the best flight on that route we have ever had. I would certainly recommend the airline.",False,,Couple Leisure,Economy Class,Southampton to Edinburgh,September 2020,5,5,,5,5,,True
"""heard nothing from Loganair""",1,2020-06-08,Not Verified |  I booked & paid fully for a return flight from Glasgow to Donegal for 22 May 20 returning on 25th May'20 On 16th March I received an email from Loganair informing me that my flight was being rerouted to Derry instead of Donegal. As this was unsuitable I requested a refund & on 18th March they agreed to & said it would take 28 days to process. However when I contacted them again in May as I still hadn't received the refund I was told it would take 60-90 days to process. It still hasn't been processed & I've heard nothing from Loganair.,False,,Solo Leisure,Economy Class,Glasgow to Donegal,May 2020,,,,,1,,False
"""they would not give me a refund""",2,2020-04-10,"Not Verified |  I was supposed to be flying from Glasgow to Stornaway today with another 8 family members, we were going to a family wedding on the Isle of Harris. Due to Corona virus the wedding, hotel and flight were cancelled. When i tried to get a refund from Loganair they would not give me a refund only the offer of flights valid for 1 year? With people's commitments it would be very difficult to get together again with work and other commitments, they are just saying you can go when ever you wish the whole point was to go together for this great occasion? Absolutely sick about the outcome and the expense.",False,,Couple Leisure,Economy Class,Glasgow to Stornaway,April 2020,,,,,1,,False
"""No alcohol is permitted""",8,2020-02-13,"A good commuter service serving Derry in Northern Ireland to Southend. This recently changed from Stansted on this route but there is a minimal time difference on reaching central London by train or car. The airline has the benefit of an included service to allow you an optional free airport check in, advance seat allocation and an included baggage allowance. Pre-booking a seat, you may have reassigned due to the number of passengers and pay-load. The check in staff and cabin crew are all friendly and professional. There is a basic beverage service on board accompanied by a biscuit/snack. I asked for some water and was presented with a small cup with a peel off lid. This is rarely offered by most airlines and is a good positive for the airline. Perhaps a complimentary newspaper could be an addition at the gate! But overall the seats are good flights are good and the interior well maintained. I signed up for the Clan Loganair loyalty programme and was sent a Hogmanay voucher over the New Year period. Having booked several flights with them I was disappointed they did not honour the voucher when I tried to redeem it. I wrote a letter of complaint and they explained they would not honour this one off voucher. They accepted it was valid and in date but would not process this as the booking was already made. I have though booked other flights with them since as the airline crew make up for the poor commitment and response I received from the marketing and customer service team. My only negative comment is for a 90 minute flight it would be nice to have a glass of wine or a Beer on board as No alcohol is permitted. In this day and age this would not be too much to ask.",True,Embraer 145,Business,Economy Class,Southend to Derry,January 2020,5,5,,5,4,,True
"""Loganair is an excellent option""",10,2019-07-13,"The fastest, stress-free, beautiful way to travel to the Queen of the Hebrides - the island of Islay, famous for its single malt peat smoked whiskies! Loganair operates out of Glasgow airport to this remote location several times a day. The Saab 340 has 34 seats and has two propellers. The seat was comfortable. The plane was only half full. The flight attendant moved passengers around the the cabin to ensure ""balance"". It felt quaint and reminded me of the many Saab 340 flights I had taken from Detroit to Marquette (MQT) on Northwest Airlines (before Delta once it acquired Northwest retired them and replaced with CRJs). The actual flight time was less than 30 minutes and the views of the country side, the indented coastlines, and the landing over the waters were a pleasure to behold. The sole flight attendant ensured that safety rules were communicated and followed. She was dressed in the red and black tartan uniform, the colors of this Scotland based airliner. No food or drink service on this wee plane on this short flight. Given the limited space in the cabin, even carry on bags, had to be checked in. No charge. Check in at the Glasgow and Islay airports (for the return) were smooth and went off without a glitch. The alternate to the flights would have been a very long and ardous car/bus drive followed by a ferry crossing lasting for another at least over a couple of hours. The Loganair is an excellent option to ensure you can spend more time on the island. It was an enjoyable flying experience, especially since, at least at Islay, you can arrive at the airport only minutes before the flight takes off.",True,Saab 340,Solo Leisure,Economy Class,Glasgow to Islay,July 2019,4,5,,5,5,,True
"""found the experience very enjoyable""",10,2019-07-05,"Derry to Stansted. I have never been on a small airoplane before, but I found the experience very enjoyable. The air steward was most pleasant and helpful, and the free snack was a bonus, unlike another airline I used to travel on that charged a lot for anything. Highly recommend!",True,,Solo Leisure,Economy Class,Derry to Stansted,July 2019,5,5,,2,5,,True
"""Delayed yet again""",3,2019-06-16,"Edinburgh to Wick. Delayed yet again, becoming more and more part of the trip. They do not care the delay has on onward travel. Commented to a gate staff female employee and was told “nothing to do with me, there is no pilot"".  Great customer service - not.",True,,Business,Economy Class,Edinburgh to Wick,May 2019,4,4,,1,1,,False
"""these flights are superb""",9,2019-04-20,"Not Verified |  Travelled out on the Tuesday morning flight from Glasgow at 7am, slight 20 mins delay, but the flight now only takes about 35 mins in these newer Jet Engined planes, instead ot the Turbo Props which used to be used on this route. Offered a Drink and a snack with it, which was nice, and touched down enjoying some lovely scenery on The Isle of Lewis just after 8am. Back again on the 4.35 flight from Stornoway to Glasgow on the Wednesday, delayed 25mins due to the Island Air Traffic Control, but again, great flight and a snack and cup of tea some photos out over the Scottish Islands below, then straight back into Glasgow. Good flights, slightly expensive, but the ferry takes the best part of a day if you travel up from Glasgow, so these flights are superb, and now there are 4 daily return flights.",False,Embraer 145,Business,Economy Class,Glasgow to Stornoway,April 2019,4,5,,4,4,,True
"""professional and friendly""",10,2018-12-07,"Glasgow to Stornoway. Loganair provide an excellent service to Scotland. The crew are all professional and friendly, the airline is run very well. Its always a pleasure flying with Loganair.",True,,Family Leisure,Economy Class,Glasgow to Stornoway,November 2018,5,5,,5,5,,True
"""service not now become operational""",1,2018-06-07,"Belfast to Carlisle. I booked a return flight with LoganAir in April for a journey in the middle of June which required an overnight stay in Carlisle. I recently received an email to say that this service will not now become operational until September and the flights have been cancelled. This was because ""changing circumstances around the airport’s staffing means that this cannot be completed in time to receive scheduled flights as planned on 4 June"". I booked a room which, not thinking anything would be amiss, was non-refundable. Apparently booking a hotel room is treated as being inconsequential even where there is an overnight stay (perhaps I should sleep rough!?) and cannot be refunded.",True,,Business,Economy Class,Belfast to Carlisle,June 2018,,,,,1,,False
"""the attitude was abysmal""",1,2018-05-11,Islay to Glasgow. Through no fault of ours the flight was delayed which meant we missed our connecting flight to London To say the attitude was abysmal and non caring is an understatement. We were treated as of it wasn't anyone's fault but ours. An absolute disgrace with regard to customer service.,True,,Couple Leisure,Economy Class,Islay to Glasgow,May 2018,1,1,,1,1,,False
"""delayed by 2 hours""",1,2018-05-10,"Islay to Glasgow. Appalling customer service. We were delayed by 2 hours so we missed our connecting flight. Loganair took no responsibility and we've had to wait 11 hours overnight at the airport for the next available flight and pay for a new onward flight even though Loganair is meant to be in partnership with BA. From talking to locals at the airport, it seems this is a regular occurrence. Also, having said they'd make sure our bags came off first, they were actually the last 2 bags off! What a hopeless service. I won't be using them again and would suggest getting the ferry instead.",True,,Solo Leisure,Economy Class,Islay to Glasgow,May 2018,1,1,,1,1,,False
"""outbound and return flights were excellent""",10,2018-03-09,"Flew Glasgow to Stornoway. Both the outbound and return flights were excellent with good practical service from the air hostess and the ground staff. Their website is easy to use. The seats and space are of a decent size for economy - how many airlines can truly say that! On the way back I had to stay in Stornoway for 2 more nights because of the snow on the mainland - the young man running the check-in quickly and efficiently arranged hotel, meals and taxi without any prompting. I suppose the really great thing about Loganair was that you received quality individual customer service appropriate to the circumstances and needs. It is way ahead of other flying experiences I have had - unless paying a small fortunate for elite classes. I do hope they can maintain this standard of service. I have joined there flying club and if they do maintain the standard of service it will be well worth sticking with them on relevant routes.",True,,Solo Leisure,Economy Class,Glasgow to Stornoway,February 2018,5,5,,5,4,,True
"""polite, chatty. and friendly""",10,2018-01-11,"Flew Loganair from Stornoway to Edinburgh. The flight was a relatively quiet one, but the single cabin crew member was polite, chatty and friendly. Take-off was in strong winds but the aircraft was handled with skill, and the in-flight complimentary service was not disrupted. The In-flight service was comprehensive, offering a breakfast option and drink. The entire experience was like stepping back in time to a more luxurious period.",True,,Couple Leisure,Economy Class,Stornoway to Edinburgh,September 2017,5,5,,4,5,,True
"""I cannot praise them enough""",10,2017-12-28,"My flight from Manchester to Norwich on 21st December was unavoidably delayed due to heavy fog in Norwich. The pilot came out to the passengers to  explain this and paid particular attention to two elderly customers who were in wheelchairs, even offering his (only) coat to one. He stayed with us the entire time and updated us constantly. The cabin crew brought us mince pies and were very comforting. I cannot praise them enough for the service provided and won't hesitate to recommend & use them again. The flight itself was smooth and the pilot landed safely in tremendously awful thick cloud. Thank you.",True,,Solo Leisure,Economy Class,Manchester to Norwich,December 2017,5,5,,5,5,,True
"""great customer service""",10,2017-10-16,"✅ Verified Review |  Flew Loganair from Barra to Glasgow. Very nice airline with a great customer service. Our flight for the next day should be canceled because of a storm, so we got booked to a flight one day before to get our onward international flight for sure. Aircraft was small but okay and the pilots did a great job to keep it silent.",False,DHC-6,Solo Leisure,Economy Class,Barra to Glasgow,October 2017,3,5,,5,4,,True
Loganair customer review,10,2015-07-20,"Great service from a great little airline operating on behalf of Flybe. The Dornier 328 is a comfortable aircraft, albeit a little small. The sole cabin crew member was polite, professional, very friendly and chatty. Complimentary snacks and drinks were served and the flights were on time departing and arrived early. In fact, the outbound flight only took 31 minutes, a record according to the crew.",False,Dornier 328-100,Couple Leisure,Economy Class,NWI to MAN,July 2015,4,5,,4,3,,True
